query	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Agron	WATDE0049	WATDE0065	WATDE0011	WATDE0078	WATDE0022	WATDE0086	WATDE0082	WATDE0002	WATDE0026	WATDE0081	WATDE0075	WATDE0016	WATDE0030	WATDE0023	WATDE0044	WATDE0087	WATDE0035	WATDE0068	WATDE0071	WATDE0033	WATDE0001	WATDE0025	WATDE0055	WATDE0019	WATDE0020	WATDE0051	WATDE0042	WATDE0062	WATDE0024	WATDE0085	WATDE0040	WATDE0031	WATDE0017	WATDE0004	WATDE0072	WATDE0012	WATDE0036	WATDE0027	WATDE0015	WATDE0052	WATDE0041	WATDE0096	WATDE0063	WATDE0098	WATDE0053	WATDE0094	WATDE0005	WATDE0046	WATDE0034	WATDE0021	WATDE0097	WATDE0069	WATDE0018	WATDE0038	WATDE0084	WATDE0077	WATDE0010	WATDE0073	WATDE0059	WATDE0048	WATDE0080	WATDE0070	WATDE0079	WATDE0037	WATDE0013	WATDE0099	WATDE0008	WATDE0090	WATDE0032	WATDE0061	WATDE0047	WATDE0054	WATDE0014	WATDE0057	WATDE0043	WATDE0066	WATDE0006	WATDE0007	WATDE0028	WATDE0091	WATDE0089	WATDE0076	WATDE0067	WATDE0100	WATDE0083	WATDE0093	WATDE0050	WATDE0088	WATDE0074	WATDE0092	WATDE0045	WATDE0060	WATDE0058	WATDE0056	WATDE0095	WATDE0009	WATDE0039	WATDE0029	WATDE0064	WATDE0003
Alba	WATDE0079	WATDE0010	WATDE0050	WATDE0091	WATDE0045	WATDE0092	WATDE0089	WATDE0006	WATDE0007	WATDE0014	WATDE0066	WATDE0058	WATDE0083	WATDE0100	WATDE0029	WATDE0099	WATDE0020	WATDE0059	WATDE0097	WATDE0030	WATDE0012	WATDE0013	WATDE0048	WATDE0061	WATDE0064	WATDE0082	WATDE0055	WATDE0004	WATDE0073	WATDE0041	WATDE0074	WATDE0024	WATDE0008	WATDE0067	WATDE0084	WATDE0032	WATDE0080	WATDE0093	WATDE0075	WATDE0076	WATDE0069	WATDE0018	WATDE0021	WATDE0015	WATDE0051	WATDE0043	WATDE0033	WATDE0037	WATDE0046	WATDE0038	WATDE0088	WATDE0071	WATDE0001	WATDE0085	WATDE0063	WATDE0068	WATDE0053	WATDE0016	WATDE0094	WATDE0087	WATDE0022	WATDE0011	WATDE0054	WATDE0095	WATDE0052	WATDE0049	WATDE0035	WATDE0044	WATDE0031	WATDE0025	WATDE0019	WATDE0017	WATDE0034	WATDE0065	WATDE0090	WATDE0047	WATDE0086	WATDE0072	WATDE0070	WATDE0036	WATDE0002	WATDE0077	WATDE0028	WATDE0027	WATDE0026	WATDE0098	WATDE0062	WATDE0096	WATDE0042	WATDE0081	WATDE0009	WATDE0040	WATDE0005	WATDE0057	WATDE0023	WATDE0056	WATDE0078	WATDE0003	WATDE0060	WATDE0039
Albatross	WATDE0045	WATDE0089	WATDE0066	WATDE0059	WATDE0014	WATDE0083	WATDE0006	WATDE0079	WATDE0092	WATDE0050	WATDE0029	WATDE0067	WATDE0058	WATDE0091	WATDE0010	WATDE0099	WATDE0008	WATDE0020	WATDE0007	WATDE0100	WATDE0093	WATDE0012	WATDE0048	WATDE0088	WATDE0074	WATDE0070	WATDE0024	WATDE0013	WATDE0064	WATDE0077	WATDE0043	WATDE0061	WATDE0097	WATDE0095	WATDE0073	WATDE0046	WATDE0030	WATDE0004	WATDE0041	WATDE0018	WATDE0038	WATDE0032	WATDE0055	WATDE0076	WATDE0021	WATDE0087	WATDE0017	WATDE0072	WATDE0084	WATDE0069	WATDE0022	WATDE0075	WATDE0034	WATDE0053	WATDE0052	WATDE0015	WATDE0051	WATDE0094	WATDE0054	WATDE0037	WATDE0071	WATDE0049	WATDE0001	WATDE0085	WATDE0068	WATDE0047	WATDE0019	WATDE0080	WATDE0036	WATDE0082	WATDE0016	WATDE0027	WATDE0035	WATDE0042	WATDE0086	WATDE0065	WATDE0040	WATDE0044	WATDE0081	WATDE0011	WATDE0063	WATDE0096	WATDE0090	WATDE0056	WATDE0025	WATDE0002	WATDE0033	WATDE0031	WATDE0062	WATDE0078	WATDE0028	WATDE0026	WATDE0003	WATDE0098	WATDE0060	WATDE0057	WATDE0039	WATDE0023	WATDE0009	WATDE0005
Alcedo	WATDE0014	WATDE0007	WATDE0024	WATDE0099	WATDE0046	WATDE0020	WATDE0006	WATDE0030	WATDE0082	WATDE0004	WATDE0048	WATDE0084	WATDE0022	WATDE0021	WATDE0045	WATDE0011	WATDE0047	WATDE0012	WATDE0023	WATDE0032	WATDE0018	WATDE0008	WATDE0037	WATDE0044	WATDE0070	WATDE0085	WATDE0001	WATDE0073	WATDE0013	WATDE0038	WATDE0041	WATDE0034	WATDE0088	WATDE0051	WATDE0080	WATDE0028	WATDE0097	WATDE0054	WATDE0019	WATDE0053	WATDE0064	WATDE0059	WATDE0069	WATDE0036	WATDE0049	WATDE0093	WATDE0043	WATDE0075	WATDE0083	WATDE0015	WATDE0052	WATDE0035	WATDE0055	WATDE0005	WATDE0016	WATDE0086	WATDE0027	WATDE0078	WATDE0017	WATDE0033	WATDE0087	WATDE0068	WATDE0042	WATDE0076	WATDE0025	WATDE0071	WATDE0061	WATDE0072	WATDE0079	WATDE0074	WATDE0095	WATDE0065	WATDE0098	WATDE0081	WATDE0077	WATDE0031	WATDE0029	WATDE0066	WATDE0094	WATDE0092	WATDE0096	WATDE0063	WATDE0089	WATDE0091	WATDE0057	WATDE0050	WATDE0058	WATDE0067	WATDE0026	WATDE0056	WATDE0010	WATDE0002	WATDE0090	WATDE0040	WATDE0009	WATDE0062	WATDE0060	WATDE0100	WATDE0039	WATDE0003
Alert	WATDE0060	WATDE0009	WATDE0003	WATDE0007	WATDE0006	WATDE0090	WATDE0024	WATDE0011	WATDE0039	WATDE0056	WATDE0044	WATDE0099	WATDE0014	WATDE0030	WATDE0020	WATDE0045	WATDE0022	WATDE0085	WATDE0072	WATDE0070	WATDE0012	WATDE0019	WATDE0057	WATDE0065	WATDE0013	WATDE0086	WATDE0055	WATDE0083	WATDE0026	WATDE0031	WATDE0068	WATDE0034	WATDE0084	WATDE0048	WATDE0037	WATDE0015	WATDE0017	WATDE0016	WATDE0028	WATDE0010	WATDE0041	WATDE0004	WATDE0093	WATDE0079	WATDE0038	WATDE0046	WATDE0078	WATDE0053	WATDE0051	WATDE0052	WATDE0032	WATDE0064	WATDE0089	WATDE0029	WATDE0082	WATDE0018	WATDE0075	WATDE0050	WATDE0073	WATDE0005	WATDE0092	WATDE0036	WATDE0091	WATDE0059	WATDE0049	WATDE0027	WATDE0021	WATDE0088	WATDE0058	WATDE0023	WATDE0001	WATDE0069	WATDE0066	WATDE0047	WATDE0002	WATDE0067	WATDE0043	WATDE0097	WATDE0087	WATDE0071	WATDE0076	WATDE0042	WATDE0033	WATDE0077	WATDE0063	WATDE0040	WATDE0094	WATDE0062	WATDE0100	WATDE0098	WATDE0025	WATDE0061	WATDE0054	WATDE0081	WATDE0080	WATDE0074	WATDE0008	WATDE0035	WATDE0096	WATDE0095
Almus	WATDE0045	WATDE0014	WATDE0083	WATDE0079	WATDE0089	WATDE0066	WATDE0091	WATDE0059	WATDE0010	WATDE0006	WATDE0007	WATDE0099	WATDE0050	WATDE0092	WATDE0067	WATDE0029	WATDE0082	WATDE0077	WATDE0064	WATDE0024	WATDE0061	WATDE0043	WATDE0074	WATDE0100	WATDE0058	WATDE0021	WATDE0076	WATDE0020	WATDE0008	WATDE0084	WATDE0095	WATDE0037	WATDE0030	WATDE0048	WATDE0086	WATDE0013	WATDE0049	WATDE0093	WATDE0018	WATDE0004	WATDE0047	WATDE0046	WATDE0073	WATDE0011	WATDE0012	WATDE0022	WATDE0097	WATDE0032	WATDE0080	WATDE0053	WATDE0085	WATDE0065	WATDE0034	WATDE0038	WATDE0070	WATDE0060	WATDE0051	WATDE0057	WATDE0088	WATDE0001	WATDE0069	WATDE0019	WATDE0044	WATDE0033	WATDE0087	WATDE0078	WATDE0041	WATDE0068	WATDE0056	WATDE0052	WATDE0027	WATDE0054	WATDE0017	WATDE0036	WATDE0025	WATDE0039	WATDE0005	WATDE0055	WATDE0016	WATDE0003	WATDE0072	WATDE0002	WATDE0098	WATDE0040	WATDE0009	WATDE0071	WATDE0015	WATDE0081	WATDE0042	WATDE0035	WATDE0062	WATDE0031	WATDE0096	WATDE0094	WATDE0090	WATDE0075	WATDE0063	WATDE0028	WATDE0026	WATDE0023
Altria	WATDE0092	WATDE0010	WATDE0079	WATDE0066	WATDE0100	WATDE0006	WATDE0050	WATDE0083	WATDE0045	WATDE0014	WATDE0089	WATDE0074	WATDE0029	WATDE0091	WATDE0058	WATDE0059	WATDE0007	WATDE0099	WATDE0067	WATDE0097	WATDE0020	WATDE0030	WATDE0008	WATDE0070	WATDE0064	WATDE0061	WATDE0048	WATDE0018	WATDE0013	WATDE0046	WATDE0015	WATDE0004	WATDE0082	WATDE0077	WATDE0005	WATDE0012	WATDE0037	WATDE0022	WATDE0032	WATDE0073	WATDE0043	WATDE0051	WATDE0069	WATDE0034	WATDE0080	WATDE0017	WATDE0047	WATDE0041	WATDE0085	WATDE0021	WATDE0095	WATDE0094	WATDE0078	WATDE0087	WATDE0075	WATDE0026	WATDE0019	WATDE0093	WATDE0071	WATDE0023	WATDE0086	WATDE0084	WATDE0031	WATDE0055	WATDE0033	WATDE0068	WATDE0053	WATDE0002	WATDE0024	WATDE0016	WATDE0028	WATDE0042	WATDE0040	WATDE0060	WATDE0001	WATDE0096	WATDE0072	WATDE0065	WATDE0044	WATDE0081	WATDE0003	WATDE0027	WATDE0076	WATDE0049	WATDE0038	WATDE0025	WATDE0011	WATDE0062	WATDE0088	WATDE0039	WATDE0054	WATDE0035	WATDE0052	WATDE0036	WATDE0063	WATDE0056	WATDE0090	WATDE0098	WATDE0057	WATDE0009
ability	WATDE0006	WATDE0045	WATDE0007	WATDE0059	WATDE0083	WATDE0067	WATDE0014	WATDE0092	WATDE0066	WATDE0010	WATDE0064	WATDE0029	WATDE0050	WATDE0089	WATDE0077	WATDE0099	WATDE0048	WATDE0082	WATDE0008	WATDE0012	WATDE0091	WATDE0093	WATDE0013	WATDE0061	WATDE0084	WATDE0100	WATDE0020	WATDE0079	WATDE0058	WATDE0043	WATDE0074	WATDE0037	WATDE0095	WATDE0076	WATDE0024	WATDE0004	WATDE0022	WATDE0038	WATDE0030	WATDE0021	WATDE0097	WATDE0046	WATDE0070	WATDE0053	WATDE0019	WATDE0034	WATDE0032	WATDE0085	WATDE0018	WATDE0098	WATDE0027	WATDE0016	WATDE0087	WATDE0078	WATDE0075	WATDE0069	WATDE0031	WATDE0001	WATDE0080	WATDE0023	WATDE0049	WATDE0054	WATDE0028	WATDE0005	WATDE0096	WATDE0071	WATDE0072	WATDE0047	WATDE0002	WATDE0051	WATDE0011	WATDE0081	WATDE0062	WATDE0036	WATDE0017	WATDE0044	WATDE0060	WATDE0090	WATDE0055	WATDE0041	WATDE0033	WATDE0068	WATDE0035	WATDE0088	WATDE0086	WATDE0025	WATDE0015	WATDE0052	WATDE0009	WATDE0073	WATDE0065	WATDE0056	WATDE0039	WATDE0040	WATDE0003	WATDE0094	WATDE0063	WATDE0057	WATDE0042	WATDE0026
