query	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Agron	11.37	7.97	6.42	5.71	5.08	3.31	4.21	3.91	3.65	1.34	2.0	2.19	1.53	2.29	2.0	1.25	0.69	1.16	1.57	0.85	2.3	0.38	1.11	0.85	0.99	0.95	0.65	0.82	0.91	0.34	0.85	0.76	0.46	0.4	0.94	0.27	0.5	0.14	0.23	0.36	0.24	0.26	0.25	0.42	0.33	0.36	0.2	0.44	0.08	0.44	0.21	0.28	0.14	0.21	0.18	0.11	0.16	0.13	0.16	0.18	0.04	0.08	0.04	0.0	0.04	0.0	0.04	0.08	0.11	0.09	0.06	0.08	0.06	0.1	0.01	0.0	0.04	0.01	0.01	0.0	0.0	0.06	0.01	0.06	0.06	0.06	0.01	0.0	0.0	0.01	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0
Alba	17.29	16.28	7.61	9.34	7.01	5.59	4.4	6.01	2.35	3.17	5.01	1.21	0.66	3.75	0.53	0.49	0.8	0.33	0.12	0.55	0.44	0.24	0.07	0.39	0.33	0.09	0.28	0.04	0.3	0.13	0.11	0.0	0.16	0.04	0.19	0.03	0.0	0.04	0.0	0.04	0.32	0.01	0.2	0.0	0.16	0.0	0.06	0.0	0.01	0.13	0.07	0.06	0.03	0.0	0.09	0.02	0.0	0.0	0.0	0.01	0.01	0.0	0.12	0.0	0.0	0.05	0.04	0.0	0.09	0.0	0.09	0.02	0.01	0.0	0.0	0.0	0.0	0.02	0.0	0.04	0.0	0.09	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Albatross	20.83	13.29	11.45	4.56	8.75	2.74	4.67	2.94	4.36	3.03	3.79	1.78	1.19	1.14	1.13	0.9	1.61	0.95	1.71	0.3	0.71	0.41	0.48	0.14	0.79	0.83	0.76	0.12	0.28	0.48	0.43	0.11	0.06	0.13	0.18	0.03	0.11	0.01	0.36	0.01	0.21	0.0	0.05	0.02	0.41	0.25	0.14	0.11	0.0	0.0	0.02	0.0	0.12	0.0	0.06	0.08	0.3	0.09	0.05	0.0	0.01	0.0	0.02	0.0	0.0	0.14	0.01	0.01	0.0	0.01	0.01	0.06	0.03	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alcedo	15.44	12.24	9.52	7.89	7.4	2.42	4.58	3.34	3.39	3.3	1.02	2.49	1.3	2.01	1.59	4.0	1.52	0.51	0.07	1.68	0.76	1.53	0.71	1.7	0.83	0.23	0.73	0.55	0.26	0.8	0.74	0.21	0.2	0.06	0.11	0.01	0.34	0.01	0.96	0.23	0.11	0.52	0.09	0.04	0.12	0.03	0.07	0.35	0.01	0.22	0.19	0.01	0.04	0.09	0.16	0.1	0.09	0.0	0.0	0.0	0.11	0.22	0.01	0.06	0.0	0.0	0.0	0.02	0.09	0.0	0.05	0.05	0.1	0.0	0.01	0.05	0.04	0.02	0.0	0.0	0.0	0.01	0.01	0.0	0.09	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0
Alert	7.1	6.29	5.02	2.93	0.79	1.71	1.34	1.21	1.31	0.63	0.21	0.42	0.39	0.37	0.43	0.0	0.17	0.28	0.38	0.45	0.12	0.14	0.24	0.03	0.14	0.04	0.04	0.03	0.27	0.08	0.18	0.09	0.0	0.0	0.22	0.02	0.03	0.08	0.05	0.1	0.13	0.12	0.06	0.09	0.04	0.0	0.05	0.03	0.26	0.02	0.01	0.02	0.0	0.0	0.0	0.01	0.21	0.15	0.07	0.03	0.03	0.1	0.01	0.0	0.0	0.07	0.0	0.16	0.01	0.12	0.0	0.1	0.16	0.02	0.01	0.08	0.09	0.05	0.01	0.01	0.06	0.06	0.0	0.01	0.06	0.01	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03
Almus	21.9	12.13	6.87	9.53	6.32	6.49	2.27	5.41	0.9	2.02	1.15	3.25	2.3	0.9	1.94	0.87	1.14	1.12	0.62	2.92	0.74	0.69	0.04	0.47	0.84	0.13	0.08	0.45	0.5	0.11	0.21	0.23	0.89	0.09	0.2	0.22	0.14	0.05	0.12	0.14	0.09	0.09	0.18	0.28	0.01	0.04	0.06	0.01	0.06	0.04	0.07	0.03	0.05	0.05	0.02	0.12	0.13	0.09	0.0	0.04	0.0	0.01	0.0	0.09	0.05	0.01	0.0	0.03	0.05	0.02	0.0	0.0	0.02	0.02	0.0	0.09	0.0	0.01	0.01	0.0	0.01	0.0	0.01	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Altria	16.75	11.16	12.28	8.52	8.21	8.74	3.85	3.78	3.06	3.39	1.58	4.08	0.68	2.26	1.05	0.87	0.92	0.66	0.7	0.16	0.4	0.71	0.25	0.58	0.23	0.17	0.13	0.18	0.14	0.04	0.4	0.3	0.31	0.12	0.25	0.11	0.22	0.09	0.0	0.04	0.19	0.08	0.02	0.13	0.05	0.06	0.23	0.01	0.15	0.01	0.05	0.06	0.15	0.04	0.0	0.01	0.0	0.0	0.02	0.09	0.11	0.0	0.0	0.0	0.06	0.0	0.0	0.1	0.15	0.0	0.0	0.0	0.0	0.0	0.03	0.06	0.0	0.05	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0
ability	16.06	9.21	10.58	11.34	7.25	4.79	4.3	2.49	2.32	5.49	2.31	1.94	0.7	0.65	1.63	2.0	0.85	2.71	0.32	1.28	0.3	1.49	0.49	0.74	0.29	0.4	0.47	0.36	0.43	0.15	0.22	0.6	0.0	0.25	0.29	0.09	0.28	0.17	0.18	0.13	0.0	0.02	0.19	0.33	0.0	0.34	0.1	0.09	0.09	0.21	0.03	0.01	0.21	0.0	0.01	0.04	0.39	0.01	0.0	0.0	0.03	0.06	0.09	0.07	0.02	0.12	0.02	0.01	0.0	0.0	0.04	0.0	0.0	0.02	0.04	0.0	0.0	0.01	0.0	0.0	0.0	0.01	0.01	0.0	0.06	0.0	0.0	0.0	0.0	0.01	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
